category_id,category,category_summary,url
706543,Category:Machine_learning,"Machine learning is a branch of statistics and computer science, which studies algorithms and architectures that learn from observed facts.",https://en.wikipedia.org/wiki/Category:Machine_learning
33547387,Category:Applied machine learning,,https://en.wikipedia.org/wiki/Category:Applied_machine_learning
42936114,Category:Artificial neural networks,This category are for articles about artificial neural networks (ANN).,https://en.wikipedia.org/wiki/Category:Artificial_neural_networks
49119651,Category:Deep learning,,https://en.wikipedia.org/wiki/Category:Deep_learning
3735046,Category:Neural network software,This category lists Artificial neural network software,https://en.wikipedia.org/wiki/Category:Neural_network_software
1718975,Category:Bayesian networks,,https://en.wikipedia.org/wiki/Category:Bayesian_networks
1991254,Category:Classification algorithms,"This category is about statistical classification algorithms. For more information, see Statistical classification.",https://en.wikipedia.org/wiki/Category:Classification_algorithms
17594154,Category:Decision trees,,https://en.wikipedia.org/wiki/Category:Decision_trees
3985352,Category:Ensemble learning,"Ensemble learning is a type of machine learning that studies algorithms and architectures that build collections, or ensembles, of statistical classifiers that are more accurate than a single classifier.",https://en.wikipedia.org/wiki/Category:Ensemble_learning
22532673,Category:Cluster analysis,,https://en.wikipedia.org/wiki/Category:Cluster_analysis
15325165,Category:Cluster analysis algorithms,This category contains algorithms used for cluster analysis.,https://en.wikipedia.org/wiki/Category:Cluster_analysis_algorithms
30033882,Category:Clustering criteria,,https://en.wikipedia.org/wiki/Category:Clustering_criteria
34310097,Category:Computational learning theory,,https://en.wikipedia.org/wiki/Category:Computational_learning_theory
12932492,Category:Artificial intelligence conferences,"Academic conferences related to artificial intelligence, machine learning and pattern recognition.",https://en.wikipedia.org/wiki/Category:Artificial_intelligence_conferences
33542714,Category:Data mining and machine learning software,Some products in Category:Data analysis software and Category:Statistical software also include data mining and machine learning facilities.,https://en.wikipedia.org/wiki/Category:Data_mining_and_machine_learning_software
38708030,Category:Social network analysis software,,https://en.wikipedia.org/wiki/Category:Social_network_analysis_software
42320378,Category:Datasets in machine learning,,https://en.wikipedia.org/wiki/Category:Datasets_in_machine_learning
16215923,Category:Datasets in computer vision,This category contains various types of image datasets which are used in computer vision and image processing.,https://en.wikipedia.org/wiki/Category:Datasets_in_computer_vision
29549713,Category:Dimension reduction,,https://en.wikipedia.org/wiki/Category:Dimension_reduction
36425555,Category:Factor analysis,,https://en.wikipedia.org/wiki/Category:Factor_analysis
754055,Category:Evolutionary algorithms,"An evolutionary algorithm (EA) is a heuristic optimization algorithm using techniques inspired by mechanisms from organic evolution such as mutation, recombination, and natural selection to find an optimal configuration for a specific system within specific constraints.",https://en.wikipedia.org/wiki/Category:Evolutionary_algorithms
37176176,Category:Gene expression programming,,https://en.wikipedia.org/wiki/Category:Gene_expression_programming
